Softwarename	Publisher	LatUpdate	PCname
Microsoft Visual Studio Tools for Applications 2015	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual Studio Tools for Applications 2015 Finalizer	Microsoft Corporation	21/11/2018	THUYLINH443
Microsoft Visual Studio Tools for Applications 2015 Language Support	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual Studio Tools for Applications 2015 Language Support - ENU Language Pack	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual Studio Tools for Applications 2015 Language Support Finalizer	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual Studio Tools for Applications 2015 x64 Hosting Support	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Visual Studio Tools for Applications 2015 x86 Hosting Support	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual Studio Tools for Applications Design-Time 3.0	Microsoft Corporation	20/11/2018	SRVDB52
Microsoft Visual Studio Tools for Applications x86 Runtime 3.0	Microsoft Corporation	21/11/2018	LEARN212
Microsoft VSS Writer for SQL Server 2017	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Web Deploy 4.0	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Web Deploy dbSqlPackage Provider - enu	Microsoft Corporation	21/11/2018	LEARN263
Mozilla Firefox 53.0.3 (x86 en-US)	Mozilla	21/11/2018	LEARN263
Norton Security	Symantec Corporation	23/11/2018	THUYLINH443
Norton Security Scan	Symantec Corporation	21/11/2018	THUYLINH210
Notepad++ (32-bit x86)	Notepad++ Team	20/11/2018	THUYLINH443
PIPS2LEARNInstaller	vigilant	21/11/2018	LEARN202
Prerequisites for SSDT 	Microsoft Corporation	20/11/2018	SRVDB52
PrivateDataTransfer	Vigilant Solutions	21/11/2018	LEARN200
Python Launcher	Python Software Foundation	20/11/2018	THUYLINH443
Realtek Ethernet Controller All-In-One Windows Driver	Realtek	21/11/2018	LEARN263
Realtek High Definition Audio Driver	Realtek Semiconductor Corp.	21/11/2018	THUYLINH443
Remote Desktop Connection Manager	Microsoft Corporation	20/11/2018	THUYLINH443
Roslyn Language Services - x86	Microsoft Corporation	20/11/2018	THUYLINH443
